"loan_id","is_first_loan","fully_repaid_previous_loans","currently_repaying_other_loans","total_credit_card_limit","avg_percentage_credit_card_limit_used_last_year","saving_amount","checking_amount","is_employed","yearly_salary","age","dependent_number"
151306,1,NA,NA,0,NA,1195,2585,0,0,40,2
599991,1,NA,NA,4300,0.64,2045,2357,1,32800,57,6
825458,0,1,1,2000,0.7,563,356,1,12500,25,4
715834,0,1,1,5800,0.46,1034,2279,0,0,19,2
639314,1,NA,NA,3600,0.65,1255,1675,0,0,51,2
489903,1,NA,NA,2700,0.96,958,3804,1,29400,45,2
810008,1,NA,NA,1000,0.68,1162,2880,1,17800,34,0
851959,0,1,0,4100,0.95,6613,7059,1,35500,32,1
990028,0,1,1,3800,1.01,229,1239,0,0,56,2
944928,1,NA,NA,3700,0.6,2868,5041,1,21500,31,1
657398,1,NA,NA,2600,0.94,1200,1584,1,8900,41,8
450687,0,1,1,5800,0.86,2211,5168,1,31300,19,2
899772,1,NA,NA,4600,0.42,5330,3177,0,0,43,2
1761,0,1,1,4500,0.58,4499,3131,0,0,35,4
610721,1,NA,NA,3500,0.69,402,2418,1,37500,34,1
464812,1,NA,NA,4300,0.56,677,3051,0,0,30,5
646800,1,NA,NA,4500,0.68,1824,667,0,0,39,0
442396,0,1,0,6000,1.08,7092,4110,1,1400,42,2
68288,0,1,1,4200,0.39,459,1193,0,0,18,2
193290,0,1,1,1700,0.92,3098,892,0,0,35,3
649409,1,NA,NA,3700,0.85,1514,478,1,29700,32,1
473845,0,1,0,1600,0.88,783,2985,0,0,33,6
211274,0,1,0,3900,0.71,5880,4152,1,36400,45,4
621002,0,1,0,8600,0.77,3656,3140,1,38400,43,7
290352,0,1,0,6300,0.35,773,940,0,0,35,4
970175,1,NA,NA,8300,0.89,2125,2822,1,40800,46,1
320046,0,0,0,3300,0.43,3647,5082,1,49600,24,7
887658,1,NA,NA,3700,0.66,2616,7127,1,34600,46,4
624439,1,NA,NA,0,NA,2455,420,1,42100,45,5
948137,1,NA,NA,8000,0.72,2134,3163,1,46000,40,8
42329,1,NA,NA,2600,0.46,4366,5185,1,44100,35,1
916995,0,1,1,1500,0.52,5521,2518,1,61100,64,0
296435,1,NA,NA,0,NA,1496,1669,0,0,27,2
490206,1,NA,NA,3700,0.62,2213,2789,1,42800,33,2
426868,1,NA,NA,2800,0.51,8314,1906,1,47000,55,6
561904,0,0,1,3700,0.61,1554,1306,1,16400,41,2
140784,1,NA,NA,5700,0.62,2143,5630,0,0,45,1
830636,0,1,0,5400,0.5,212,3520,1,31700,30,2
125781,0,1,0,5700,0.38,2694,3619,0,0,60,3
530923,1,NA,NA,2100,0.96,1348,1827,0,0,23,5
768677,1,NA,NA,5800,0.41,2272,5709,0,0,47,4
932637,0,1,0,5000,0.25,385,2751,1,44400,71,2
636585,1,NA,NA,6500,1.06,2878,2804,1,19300,66,3
358486,1,NA,NA,800,0.74,1307,2209,1,46200,47,2
210761,1,NA,NA,5500,0.61,286,2839,1,16800,35,2
198188,0,0,0,3000,0.79,2744,6131,1,22500,35,1
496174,1,NA,NA,4200,0.92,3071,5896,1,39600,69,2
59936,1,NA,NA,3100,0.54,1137,4951,1,29000,48,5
253448,1,NA,NA,5000,1.03,1771,2683,0,0,49,4
127163,0,1,1,5300,1.01,1352,1623,1,18700,35,5
563718,1,NA,NA,2600,0.54,1235,1152,1,24900,52,2
337010,1,NA,NA,4500,0.55,3519,1162,1,41200,20,1
96440,1,NA,NA,2700,0.74,3750,1675,1,50900,39,8
755756,1,NA,NA,8900,0.95,1392,2416,0,0,21,2
417978,0,1,1,4200,0.61,759,1547,0,0,51,8
326256,0,1,1,3400,0.63,544,2891,0,0,58,2
519786,1,NA,NA,3100,0.61,31,5695,1,48500,33,6
125879,1,NA,NA,4100,0.84,4288,2609,1,33000,31,1
448797,1,NA,NA,5700,0.38,5192,4875,1,38100,40,3
869712,1,NA,NA,5700,0.74,3493,3020,1,44400,52,2
748685,1,NA,NA,2900,0.95,1424,7345,1,43100,55,1
67567,1,NA,NA,6700,0.95,1279,2188,0,0,41,1
406732,0,1,0,5100,0.63,4234,1738,1,40600,60,7
580431,1,NA,NA,5800,0.6,2797,4241,1,41000,59,4
503833,0,1,0,3900,0.95,257,1745,1,28800,68,3
973015,1,NA,NA,8900,0.75,6758,5165,1,49900,33,3
768394,0,1,0,4700,0.74,1479,3931,1,36700,25,1
836923,1,NA,NA,6600,0.8,2106,3547,1,11500,38,7
896497,0,1,1,1800,0.81,1190,2786,0,0,38,8
55306,1,NA,NA,4800,0.57,3003,3363,1,60800,61,3
335972,0,1,0,6900,0.58,174,2330,1,10800,74,7
210772,0,0,0,3000,0.75,2180,3018,1,37700,62,3
73527,1,NA,NA,4800,0.34,3092,10109,1,31600,27,2
65015,0,1,1,3700,0.83,1083,2103,0,0,51,2
569872,1,NA,NA,8100,0.78,553,468,1,18800,32,3
57145,0,1,1,6100,0.52,3582,997,1,25800,37,1
953773,0,1,0,4900,0.65,680,2660,0,0,27,1
44642,1,NA,NA,3700,0.57,3134,5342,0,0,43,2
364191,0,1,0,4100,0.59,426,5265,0,0,38,3
951792,1,NA,NA,6700,0.72,1075,189,1,35100,37,2
126408,1,NA,NA,8100,0.39,3105,1478,1,37600,34,1
558211,1,NA,NA,4200,0.72,1838,3261,1,40200,45,3
618298,0,1,0,6700,0.77,2165,3913,0,0,43,3
868923,0,0,1,4400,0.76,878,3505,0,0,49,3
490862,0,1,0,3500,0.46,837,1493,0,0,56,2
15515,1,NA,NA,7300,0.76,1514,4188,0,0,47,0
909030,1,NA,NA,3100,0.76,4441,6011,1,28400,50,4
323542,0,1,0,6600,0.97,2086,922,1,16600,59,0
730071,0,0,1,5200,1,245,3057,1,22400,45,3
524569,1,NA,NA,5500,0.89,2522,1581,1,44400,28,2
72429,0,1,1,2000,0.85,1136,2524,0,0,41,8
599871,0,1,0,5400,0.69,3862,20,1,22100,62,3
945236,0,1,1,4100,0.52,3199,3310,1,62300,40,4
568362,0,1,1,1700,0.48,898,2659,0,0,43,6
661028,1,NA,NA,4600,0.48,2795,5921,1,78300,23,6
589803,1,NA,NA,3100,0.87,1852,2446,0,0,57,1
276576,0,1,0,5200,0.95,1830,2549,1,42900,26,8
12185,0,1,1,2000,1.06,292,1866,0,0,52,8
512339,1,NA,NA,4800,1.04,1643,2046,0,0,69,3
109680,0,1,0,4100,0.84,388,6563,1,27100,39,1
651455,1,NA,NA,5500,0.29,2873,1988,1,27900,56,6
895279,0,1,0,4600,0.53,4514,2917,1,23600,38,2
940754,0,1,1,2500,1.06,1310,3276,0,0,36,7
856836,1,NA,NA,6000,0.39,2016,2517,1,21500,33,2
224321,1,NA,NA,4300,0.43,1501,1295,1,48700,24,3
232032,1,NA,NA,3100,0.68,700,1649,0,0,30,8
109891,0,1,1,4900,0.89,1660,1686,1,23900,41,0
486399,1,NA,NA,2100,0.82,2254,7687,1,16500,46,2
945623,1,NA,NA,0,NA,5067,4469,1,19900,38,5
971289,0,1,0,3800,0.45,556,2120,0,0,39,6
932939,1,NA,NA,4600,0.56,945,2126,1,37400,24,4
538669,0,1,0,9100,0.87,3884,3023,1,46800,31,2
491678,0,1,0,3700,0.65,2064,4045,1,49400,50,3
836297,0,1,1,0,NA,1089,1375,1,33700,35,1
719485,1,NA,NA,3500,0.81,1248,3956,1,26500,56,1
589444,1,NA,NA,5900,0.67,4606,2588,1,56100,54,5
255412,0,1,0,6300,0.71,1762,2877,1,7100,47,2
515970,0,1,1,4600,1.01,1898,1694,1,32900,42,8
673029,1,NA,NA,3800,0.65,794,1459,0,0,26,3
102810,1,NA,NA,5700,0.53,1181,1013,0,0,45,3
70607,1,NA,NA,3600,1.05,918,2552,0,0,48,1
893609,0,1,1,600,0.62,1555,3418,0,0,55,3
346097,1,NA,NA,3500,0.67,977,4230,1,17700,53,8
649834,1,NA,NA,5000,0.43,1479,1746,1,24200,41,4
805013,1,NA,NA,8100,0.81,1011,1472,1,24400,24,3
684753,1,NA,NA,2000,0.8,1301,3137,1,21800,40,8
682553,0,1,0,2200,0.89,370,1893,0,0,29,5
866961,0,1,0,3900,0.59,735,2942,0,0,28,8
23301,1,NA,NA,4300,0.39,1764,1518,1,46000,23,4
668129,1,NA,NA,2000,1.07,960,1340,0,0,39,4
738040,1,NA,NA,2700,0.6,624,1904,1,28800,50,7
253360,1,NA,NA,2600,1.04,1497,1721,0,0,19,8
483736,1,NA,NA,4200,0.91,1012,2133,1,24300,43,6
636040,1,NA,NA,3800,0.65,915,819,1,28800,27,6
367401,0,1,0,4200,0.83,1226,1269,1,21500,64,8
475626,1,NA,NA,5000,0.67,3001,163,1,54500,47,8
1669,0,1,1,0,NA,1425,1790,0,0,30,4
114413,0,1,1,6000,0.62,372,3874,0,0,59,8
49934,0,1,0,1900,0.68,788,1211,1,10100,45,0
160643,0,1,1,6400,1.05,949,3906,1,14600,63,4
221294,1,NA,NA,0,NA,1135,374,0,0,31,8
918691,0,1,0,6900,0.62,4359,2460,1,22500,50,3
833444,0,0,1,5800,0.88,685,1079,1,36500,30,3
445055,1,NA,NA,3400,0.99,995,2815,1,26000,29,3
764515,0,1,1,2100,0.58,1485,4062,0,0,59,4
81944,0,1,0,5000,0.85,1122,3118,1,21300,22,7
943667,0,1,0,6400,0.69,2882,3805,1,47300,37,1
610563,1,NA,NA,7600,0.69,3883,7574,1,1900,28,8
944095,1,NA,NA,2000,0.84,940,1743,1,30200,53,8
612944,1,NA,NA,0,NA,1047,2063,1,19400,42,4
363538,1,NA,NA,6700,0.73,164,1515,1,35000,28,3
48024,0,1,0,7100,0.76,1953,4153,1,40600,33,8
995256,1,NA,NA,4800,1.03,2534,6196,1,5100,42,2
8155,1,NA,NA,2900,0.62,199,2951,0,0,50,7
617313,1,NA,NA,6800,0.9,1587,229,1,18700,25,5
424773,1,NA,NA,6400,0.65,144,5667,1,31900,51,2
479148,0,0,1,6600,0.66,1141,4319,1,34500,62,2
350800,0,1,1,3700,0.53,1688,3528,0,0,41,8
341253,0,1,0,5100,0.31,1539,5031,1,43500,29,5
892385,0,0,0,5400,0.82,1881,3177,1,45400,22,1
206775,0,1,0,7700,0.54,4061,4577,1,23400,30,5
179853,0,1,1,3400,0.75,997,2665,1,27600,54,4
591382,1,NA,NA,2200,0.96,337,2162,1,21400,28,2
919582,1,NA,NA,0,NA,1859,1694,0,0,18,4
192536,0,1,0,5600,0.97,2203,1357,0,0,26,8
387130,1,NA,NA,0,NA,730,1191,1,30400,42,4
873566,0,1,0,4200,0.76,2861,1772,1,36900,51,8
135569,1,NA,NA,7100,0.61,647,2777,1,34200,24,5
222601,1,NA,NA,1400,0.79,995,1925,1,34900,56,4
264802,1,NA,NA,0,NA,344,949,1,35500,45,8
280543,1,NA,NA,5400,0.92,1368,1590,1,15200,39,2
781825,1,NA,NA,6200,0.58,913,10054,1,59500,72,4
87088,1,NA,NA,1600,0.71,3704,7090,1,55200,27,4
220105,1,NA,NA,6300,0.65,2066,7805,1,18400,28,1
905316,1,NA,NA,4600,0.73,6641,4053,1,37500,71,1
503295,0,1,0,5200,0.77,439,1281,1,23100,36,2
585617,0,1,1,4800,0.49,563,2099,0,0,37,8
163163,0,0,0,5200,0.99,1043,2024,0,0,29,5
114696,1,NA,NA,3400,0.36,6229,4771,1,28400,38,8
53777,1,NA,NA,1200,0.47,1913,2773,0,0,65,2
114287,1,NA,NA,6200,0.57,3451,2492,1,41800,33,8
770381,0,1,0,4300,0.62,1056,1390,1,22200,35,4
379198,0,0,0,6500,0.76,4684,6897,1,41200,33,2
69836,1,NA,NA,3100,0.95,831,1534,1,15300,54,4
535698,0,1,0,6600,0.66,2967,2174,1,58900,45,1
172291,0,1,0,3400,0.77,1693,5396,0,0,45,8
593690,1,NA,NA,6300,0.7,1899,187,1,31500,58,1
393310,1,NA,NA,3700,0.6,1241,3855,0,0,41,6
551464,1,NA,NA,5700,0.58,531,5702,1,37300,60,2
839919,1,NA,NA,6600,0.81,4330,2450,1,28300,57,8
462154,1,NA,NA,4900,0.89,644,1796,0,0,24,7
161771,0,1,0,2600,0.73,1123,2013,1,18600,23,1
805547,1,NA,NA,2700,0.57,1273,1556,0,0,46,4
856156,1,NA,NA,6400,0.5,3411,5854,1,38200,54,7
641867,0,1,0,4500,0.56,1044,2126,1,17000,61,8
228284,1,NA,NA,1600,0.76,1449,1989,1,21200,28,1
835896,0,1,0,4100,0.72,1559,1346,1,28100,50,3
597024,1,NA,NA,6000,0.96,3182,5877,1,9500,53,5
895637,0,1,1,0,NA,658,1688,0,0,44,4
160634,1,NA,NA,4600,0.86,1939,4725,0,0,31,3
248479,0,1,0,2900,0.75,3641,2710,1,11600,36,3
964242,0,1,1,3400,0.71,534,2591,1,10900,35,5
244304,1,NA,NA,6900,0.52,2372,4527,1,49400,37,2
532766,1,NA,NA,0,NA,83,915,1,6600,31,1
96973,0,1,0,2300,0.98,3069,6976,1,67900,28,1
376946,1,NA,NA,2800,0.82,25,5025,0,0,30,5
988345,0,0,0,2400,0.66,639,1903,0,0,51,5
91833,1,NA,NA,4800,0.6,1484,2979,0,0,59,7
649654,0,1,0,2300,1.08,3925,5110,1,30400,57,6
487924,1,NA,NA,4700,0.76,4052,3715,1,61500,52,8
393416,0,1,0,4800,0.9,1138,4739,1,32400,24,1
475098,1,NA,NA,6900,0.47,4882,5031,1,33000,74,8
199497,1,NA,NA,3800,0.72,83,1945,1,54100,44,5
187196,1,NA,NA,3600,1.05,876,1781,0,0,34,2
598675,1,NA,NA,4900,0.71,3542,5502,1,20200,43,8
981966,1,NA,NA,3700,0.79,1661,3729,1,15700,42,2
193224,0,1,0,3400,0.81,5307,8566,1,19100,49,1
232783,1,NA,NA,0,NA,284,2725,0,0,30,2
576971,1,NA,NA,9300,0.47,1245,1783,1,22100,25,3
182482,1,NA,NA,4700,0.99,1220,2646,1,28000,36,7
21969,0,1,0,3400,0.76,1650,9,1,23000,19,4
402509,1,NA,NA,5200,1.01,2164,4972,1,45300,41,3
462700,0,1,0,4700,0.69,3628,4881,1,35200,44,2
149671,0,1,0,3600,0.77,892,3367,0,0,18,5
962806,1,NA,NA,4700,0.6,319,2249,0,0,58,8
639180,1,NA,NA,3400,0.5,4651,6241,1,31600,30,8
497659,1,NA,NA,4300,0.51,5457,569,1,35500,47,8
109195,1,NA,NA,5700,0.52,4627,8046,1,41800,37,1
469398,0,0,1,7100,0.44,4885,2692,1,36800,30,2
890996,0,1,1,3500,0.75,1583,4578,1,35500,74,4
561806,1,NA,NA,8900,0.63,999,2708,1,50400,48,4
415677,1,NA,NA,3100,0.58,1202,2797,1,29300,28,5
653286,0,1,0,2400,0.51,1227,4207,1,20800,44,5
696795,0,1,0,1200,0.63,1014,1497,0,0,48,2
932419,1,NA,NA,3500,0.57,1111,1508,1,39600,35,3
250832,1,NA,NA,7000,0.57,252,5353,1,14700,51,5
968501,1,NA,NA,0,NA,1172,1943,1,23100,45,8
133026,0,1,0,3100,0.49,1896,3473,1,37900,49,1
787505,1,NA,NA,4700,0.9,2949,7572,1,52400,44,8
695734,1,NA,NA,5500,0.77,825,1548,1,20400,41,1
409760,0,1,0,2900,0.39,1292,2810,0,0,47,2
665800,1,NA,NA,7600,0.99,5204,941,1,57400,21,0
930864,1,NA,NA,2400,0.55,4459,2732,1,45300,42,2
833470,1,NA,NA,2200,1.03,964,3177,0,0,51,4
789148,0,1,0,3700,0.93,373,1871,1,22800,56,3
938217,1,NA,NA,1300,0.65,1275,1086,0,0,51,3
119437,1,NA,NA,4200,0.69,819,2388,0,0,41,6
992005,1,NA,NA,4900,0.91,1469,356,1,11500,57,1
237981,1,NA,NA,7200,0.44,4061,6391,1,25000,33,1
21267,1,NA,NA,10700,0.44,2670,2412,1,45900,19,3
844626,1,NA,NA,4000,1.04,6114,3223,1,49500,41,2
623108,0,1,0,2500,0.72,508,1629,0,0,25,2
921757,0,1,1,4500,0.58,540,1332,0,0,31,2
185369,0,0,1,3200,0.32,669,2393,0,0,36,0
494649,1,NA,NA,3800,0.9,1273,2359,1,27800,35,8
14668,1,NA,NA,4200,0.98,945,2440,1,9900,42,4
490717,1,NA,NA,1000,0.81,758,1118,0,0,49,3
260547,0,1,0,5100,0.74,615,1601,1,18600,40,2
102625,1,NA,NA,3800,0.56,2824,4439,1,33900,34,2
437995,1,NA,NA,4400,0.7,1774,1291,1,20600,19,8
307852,1,NA,NA,7200,0.71,1880,4979,1,32800,36,3
661124,1,NA,NA,7000,1.03,1478,1417,1,14900,48,8
299422,1,NA,NA,5700,0.43,2623,3504,1,19600,33,6
751784,1,NA,NA,4000,0.31,1869,2277,0,0,58,8
180803,0,1,1,6000,0.23,2192,1535,1,57600,47,3
124831,0,1,0,6600,0.43,891,3880,0,0,48,5
755491,0,1,0,5100,0.66,1422,5572,1,10100,35,4
489034,1,NA,NA,6700,0.66,1955,3518,1,22700,43,5
429092,1,NA,NA,3800,0.67,1358,2615,0,0,48,2
593913,1,NA,NA,6300,0.71,2124,6241,1,30300,70,3
658889,0,1,0,4500,0.52,5906,5168,1,44100,34,6
623130,0,1,0,1000,0.66,1609,1970,0,0,42,1
903080,1,NA,NA,3800,0.81,210,659,0,0,45,2
101969,0,0,0,3700,0.62,3354,33,0,0,50,2
298306,1,NA,NA,3800,0.92,446,2500,1,34300,35,3
511818,0,1,0,3600,1.06,619,1189,1,20900,24,2
390835,0,1,1,5500,1.04,1452,1790,1,34200,63,2
801203,1,NA,NA,7700,1.08,2228,3040,1,50400,33,8
568223,1,NA,NA,3000,0.65,1300,5616,0,0,55,8
712754,1,NA,NA,6400,0.91,1187,1986,0,0,38,1
179775,1,NA,NA,500,0.61,435,602,0,0,45,2
178686,1,NA,NA,0,NA,705,2179,0,0,49,8
640353,1,NA,NA,2300,0.81,624,1057,1,26900,25,0
124518,0,1,0,1300,0.65,1318,7603,1,35800,21,8
608689,0,1,0,2700,0.85,865,1762,0,0,30,5
335674,1,NA,NA,6300,1.04,1509,2841,1,18600,27,1
670061,1,NA,NA,4900,0.5,358,1788,0,0,51,2
695955,1,NA,NA,5400,0.92,3325,4303,1,58400,27,8
